"Week","W/C","Date","Day","Channel","Series","Title","Format","Source","Status","Notes","Caption"
"3","w/c 29 June","3 Jul","Fri","@creepersnursery","The Working Nursery","Dispatch, 6am","Photo","Shoot S2","posted","Ran as a single photo, not the reel cut. The load-out reel gets reshot at a future dispatch morning.",""
"4","w/c 6 July","6","Mon","@creepersnursery","People of Creepers","The grower: eight years in production","Reel","Retired","held","Retired — the piece was never filmed and comes off the calendar. This week's nursery slots are covered from the June bank instead.",""
"4","w/c 6 July","7","Tue","@creepersnursery","The Working Nursery","Why we go to Europe","Reel","Bank — June","today","POST TODAY. Michael to camera from the June bank: why a British specimen nursery still travels to European growers — benchmarking, rare stock, techniques — and what comes home from it. Sourcing-authority piece for the trade.","Most of what leaves this nursery was grown here, in Surrey and the New Forest, over years. So why does a British specimen grower still get on a plane.

Not to fill a catalogue. There are a handful of specimens you cannot find at size in this country, and when a designer needs one the real choice is a photograph and a promise, or standing in front of the tree in the ground before it ships. We do the second.

Michael goes and reads the union, the taper, the rootball, the same way he would on our own rows. Only the trees that meet the standard come home.

The provenance does not change because it crossed a border. Neither does the eye that has to pass it."
"4","w/c 6 July","8","Wed","@creepersnursery","Stock & Season","Stock Walk #3","Reel","Bank — June + Live stock","","The stock-update reel from the June bank: a walk through what's ready, this week's ready lines and rough counts overlaid from the office list. Caption: ring the office.","What could you take off the ground this week.

Michael walked the [Surrey] blocks and pulled the lines that are ready now. Balanced heads, full rootballs, nothing forced to make up a number.

[Specimen] · [size] · [x ready]
[Specimen] · [size] · [x ready]
[Specimen] · [size] · [x ready]
[Specimen] · [size] · [x ready]

When a line is gone it is gone until the next batch comes on, so the counts are honest. Ring the office to hold what you need, 01932 821626."
"4","w/c 6 July","9","Thu","@creepersinstallation","Detail & Texture","New Forest, up close","Carousel","Bank — New Forest","","Photo carousel from the New Forest bank: bark, buds, foliage, form. Plant name on each slide. The week's install post.","Close enough to read the grain.

A few of the specimens growing on at the New Forest nursery this month. Bark, bud, the turn of a leaf.

[specimen name]
[specimen name]
[specimen name]"
"4","w/c 6 July","10","Fri","@creepersnursery","People of Creepers","Creepers, June into July","Reel","Bank — June","","Face-to-camera monthly update from the June bank: what shipped, what's ready now, what's coming through. Michael or team voice.","June is out the gate. [number] specimens left the nursery this month, most heading into [type of scheme or county], with [named specimen, e.g. a run of field-grown Hornbeam] the largest single load to go.

Standing ready now: [2 to 3 ready lines with rough sizes, e.g. semi-mature Amelanchier at 3m, Olea at 6 to 8m].

Coming through for late summer: [what is sizing up now, e.g. a block of multi-stem Betula], worth reserving ahead of the autumn planting window.

If you have a scheme landing in the next month, ring the office and we will tell you what is holding."
"5","w/c 13 July","13","Mon","@creepersnursery","Monday Minute","Monday Minute: mid-summer cutbacks","Reel","Bank — S1/S2","","Banked Monday Minute: deadheading and cutting back for a second flush, what to do this month. Confirm one is banked from S1/S2.","A border in the second week of July can look like it has already given its best. Half the perennials are going over, the colour is thinning, and the instinct is to leave it and wait for autumn.

Cut it back now instead. Hardy geraniums, catmint, Alchemilla and the early salvias will push a fresh mound of foliage and a second flush of flower if you take them hard back to the base once the first flush is spent. Keep deadheading repeat-flowering roses and dahlias so the plant spends its energy on new bud rather than setting seed.

Where it goes wrong is timidity and haste in equal measure. Cut too lightly and you leave a tired, half-spent border with no reason to break again. Cut everything to the ground and you lose the seedheads and structure you wanted to carry the autumn. The skill is knowing which plants repeat and which are earning their keep by going over.

Done at the right moment, a midsummer cutback buys a garden a whole second season."
"5","w/c 13 July","14","Tue","@creepersinstallation","Detail & Texture","Surrey stock, up close #2","Carousel","Bank — Surrey","","Second Surrey macro carousel from the bank. The week's install post — Tuesday is the Morie Street shoot day, so install runs from the bank.","The years show first in the detail.

Surrey stock, nearer than a photograph usually allows. [specimen name], [specimen name], [specimen name]."
"5","w/c 13 July","15","Wed","@creepersnursery","Stock & Season","Fresh In #3","Reel","Bank — walk + Live stock","","Banked walk footage plus this week's office stock list, names and counts overlaid. Surrey shoot cadence resumes at S4, so this runs from the bank.","Some plants are only worth buying in the few weeks they hit their window. These have just reached theirs.

Fresh onto the availability list this week:

[Specimen] · [size] · [x available]
[Specimen] · [size] · [x available]
[Specimen] · [size] · [x available]

If you are ordering for a London job, these can come through Morie Street rather than a run out to Surrey. The cash and carry is open Monday to Friday, 6am to midday, 1 Morie Street, SW18."
"5","w/c 13 July","17","Fri","@creepersnursery","The Working Nursery","Morie Street: Creepers in London","Reel","Shoot MS1","moved","Day-after cut from Tuesday's Morie Street shoot: rows of stock in SW18, cash and carry from 6am, same-day collect. Address and hours in the caption.","Not everything Creepers does happens two counties away. There is a yard in Wandsworth.

One Morie Street, SW18, open Monday to Friday from 6am to noon. Rows of stock held in London, so a landscaper on a city job can collect the same morning instead of waiting on a run from Surrey.

It is the least-known part of the business, and quietly one of the most useful. If you are building in town and need plants in the van by lunch, that is what it is there for."
"6","w/c 20 July","20","Mon","@creepersnursery","Monday Minute","Monday Minute: spec-list landmines","Reel","Bank — S2","","Michael, 60 seconds banked at S2. The four checks every designer should run before signing off a semi-mature spec — the most common cause of a delivery that does not match the quote, named on screen.","When a semi-mature delivery does not match the quote, the fault is almost never in the plant. It is in the four things the spec left unsaid.

Girth before height. UK nursery stock is measured by girth, the stem circumference at one metre, not by height alone. Two trees of the same height can be a caliper apart in presence and in price. Spec the girth and the height together.

Clear stem. If you want a clean standard, state the height of clear stem you need below the crown. Leave it off and a feathered, low-branched tree can still meet the height on paper.

How it is grown and supplied. Rootballed, containerised and air-potted trees of the same girth establish differently and cost differently. Name the one you are quoting against.

Form and stem count. On a multi-stem, state the minimum number of stems and the habit you want. Multi-stem with no number can arrive as two.

Get those four onto the spec and the tree that turns up is the tree you priced. Everything we quote is measured and described against exactly these points before a number goes near it."
"6","w/c 20 July","21","Tue","@creepersinstallation","Detail & Texture","New Forest, up close #2","Carousel","Bank — New Forest","","Second New Forest macro carousel from the bank. The week's install post.","Some plants only make sense in the hand.

Back among the New Forest rows this week, at close range.

[specimens shown, in order: name, name, name]"
"6","w/c 20 July","22","Wed","@creepersnursery","Stock & Season","Specimen hero: the cut-sheet","Photo carousel","Bank — Surrey","","One architectural specimen presented like a designer's cut-sheet: habit, size, conditions, pairing ideas. Photo carousel from the Surrey bank.","A specimen tree earns its cost in the years after it goes in, not on planting day. Which is why it is worth specifying on more than a photograph.

[Specimen name (Latin name)], set out the way a designer needs to read it.

Habit: [architectural form].
Supplied at: [size], settling to [mature size] over [x] years.
Aspect: [full sun or part shade, sheltered or exposed].
Soil: [conditions it wants].
Pairs with: [two or three companions].

Where this one goes wrong is scale. It is easy to underestimate on paper and then fight it for years, or to oversize it into a space it will outgrow. Read the mature figures, not the supplied size. Everything we hold has been grown on to a balanced frame, so what you draw is what arrives. Ask the office what is on the ground at the moment, sizes and numbers change week to week."
"6","w/c 20 July","24","Fri","@creepersnursery","The Working Nursery","Rows like soldiers","Reel","Shoot NF2","","Fresh NF2 drone and tracking shots: the high-summer scale piece, sister to week one's opener.","Field stock, New Forest, high summer.

Line after line of it, grown in the open ground where the wind and the winters do half the work. This is what provenance looks like before it becomes a specimen on a plan.

Not a shed of imports turned round in a season, but rows that have stood here for years, sizing up slowly, so the tree that reaches your site has already lived through the weather it will meet there.

Scale you can only build with time."
"7","w/c 27 July","27","Mon","@creepersnursery","Monday Minute","Monday Minute: holiday-week watering","Reel","Bank — S2","","Banked at S2: what dies in August and how to stop it before you go away.","The plants that die in August are almost always the ones planted this year.

A tree or shrub in its first summer has not yet put roots out beyond the hole it went into. It is living on a rootball the size it arrived with, through the hottest, driest weeks of the year, and it cannot reach for water the way an established plant can. Leave it for a fortnight while you are away and it does not wilt and recover. It goes past the point of return.

Before you go, soak the rootball slowly and deeply, not the surface, so the water reaches the roots that matter. Mulch to hold that moisture in. Move containers out of full sun and group them together. On a new tree, a slow-release watering bag will drip-feed the rootball far better than a neighbour with a can.

The one thing to avoid is a light daily sprinkle. It wets the surface, draws the roots up to find it, and leaves them more exposed than before. In this heat, a plant is made or lost on how it is watered through its first season."
"7","w/c 27 July","28","Tue","@creepersinstallation","The Install","Root pruning, explained","Reel","Shoot S4","","Shot at S4: why field stock gets root-pruned before lifting season. Hands in frame, Michael's voice from the bank over the top.","Months before a tree is lifted, its roots are cut back by hand.

It sounds like the wrong thing to do to a plant you want to keep. It isn't. Cutting the long anchor roots now forces the tree to grow a dense mass of fine feeding roots close to the stem, the roots it will travel with. By autumn, when it comes out of the ground, it lifts with everything it needs to start again somewhere new."
"7","w/c 27 July","29","Wed","@creepersnursery","Stock & Season","Fresh In #4","Reel","Shoot S4 + Live stock","","Shot at S4, same format: ready lines, names and counts on screen.","Availability moves faster through summer than most designers plan for. Stock on the list today can be spoken for by Friday.

New in and ready to reserve:

[Specimen] · [size] · [x ready]
[Specimen] · [size] · [x ready]
[Specimen] · [size] · [x ready]

If a specimen is going into a scheme this season, reserve it now rather than hoping it holds. Anna and Sarah-Louise in the office can put your name against it."
"7","w/c 27 July","31","Fri","@creepersnursery","The Working Nursery","Order out #2","Reel","Shoot S4","","Another real order leaving, same format as week one: pulled, trolleyed, strapped, gone.","An order going out looks like this.

A plant list becomes a trolley, the trolley becomes a row of them, and by the time the straps go on there is half a garden standing in the yard waiting to leave. Every plant on it was pulled by hand, checked once more against the spec, and loaded so it travels without rubbing or rocking.

Nobody watching would call it glamorous. But this is the part that decides whether what a designer quoted is what turns up on site.

Pulled, trolleyed, strapped, gone."
"8","w/c 3 August","3","Mon","@creepersnursery","Proof & Provenance","HERO — 38 Years in the Ground (nursery cut)","Film","Banked — in edit","","The 90-second nursery cut: Michael's narration over build and nursery footage, ending on the medals.","Everything a garden becomes starts in a row on a nursery.

Long before the medal, before the designer, before the client ever walks it, there is a plant in the ground and someone deciding it is not ready yet. This is the nursery cut of our film.

Thirty-eight years of growing specimens for Chelsea gardens, landscape architects and private schemes, told from the beds where the work actually happens.

The medals at the end were won in front of the judges. They were decided here, years earlier.

Creepers Nursery. Thirty-eight years in the ground."
"8","w/c 3 August","4","Tue","@creepersinstallation","Garden Stories","HERO — 38 Years in the Ground (full film)","Film","Banked — in edit","","The full 2:45 film, the brand anchor for both accounts.","Thirty-eight years, growing the trees before anyone asks for them.

The whole story, in two minutes and forty-five seconds.

Creepers. 38 years in the ground."
"8","w/c 3 August","5","Wed","@creepersnursery","Stock & Season","Stock Walk #4","Reel","Bank — S4 + Live stock","","Banked S4 walk plus this week's list.","A walk through the [Surrey] nursery, and the lines worth pulling out of it this week.

[Specimen] holding a clean [size] head. [Specimen] in good numbers, [x ready]. A short run of [specimen] at [size], [x] left. And [specimen], which never sits on the ground long.

All of it grown on and hardened off properly, not bought in to fill a list. The full week's availability goes out on the weekly email, ask the office to be added to it."
"8","w/c 3 August","6","Thu","@creepersinstallation","Detail & Texture","Hero derivative: the craft cut","Reel","Hero film","","60 seconds out of the film: the growing-double sequence.","Only the best will do for Chelsea.

So we grow double what a garden needs. The weaker plants fall away, and we are left with everything the design asked for, and nothing that was not ready.

Michael Buck, Head of Horticulture, on the New Forest grow."
"9","w/c 10 August","10","Mon","@creepersnursery","People of Creepers","The driver's round","Reel (iPhone)","Bank — S4","","iPhone piece with a driver, banked at S4: a delivery morning in 40 seconds.","Half past five, and the van is already loaded. This is [driver name]'s round.

The delivery is the part of the nursery nobody films, and it may be the one that matters most, because it is the last pair of hands on a plant before a designer sees it. [He/She] knows which gardens have narrow access, which clients want a call before the van turns up, which trees get walked round the back rather than left at the gate.

Forty seconds of a morning that started long before the rest of us. The stock is only ever as good as the way it arrives."
"9","w/c 10 August","11","Tue","@creepersinstallation","Garden Stories","Royal Windsor, looking back","Carousel","Permissioned","","Photo set from the 6 June show, if the team captured it. Needs Anna's confirmation and sign-off.","Royal Windsor, looking back.

Creepers grew [the specimen trees] for [the garden or stand] at the show on the sixth of June. [One line on the planting or the scale]. Grown on in Surrey, shown for the weekend, and back at the nursery now.

Good company to keep. With thanks to [collaborator]."
"9","w/c 10 August","12","Wed","@creepersnursery","Stock & Season","Fresh In #5","Reel","Shoot S5 + Live stock","","Shot at S5, same format.","One or two of these are the kind of plant you build a scheme around, not just drop into a gap.

On the list from this week:

[Specimen] · [size] · [x available]
[Specimen] · [size] · [x available]
[Specimen] · [size] · [x available]

For London designers the quickest look is Morie Street, our cash and carry in Wandsworth, mornings only, Monday to Friday. Or ring the office and we will send photographs of the actual stock, not a catalogue image."
"9","w/c 10 August","13","Thu","@creepersinstallation","The Install","Late summer in the fields","Reel","Shoot S5","","Shot at S5: lifting prep, the state of the field stock before autumn.","Late summer in the fields.

The growing is more or less done for the year, and the work goes quiet. What stands out there now is watched, watered and made ready, waiting on the ground and the weather to turn. Lifting is still a few weeks off. For now, everything holds."
"10","w/c 17 August","17","Mon","@creepersnursery","Monday Minute","Monday Minute: Michael's pick","Reel","Bank — S5","","Banked at S5: whatever he wants the trade to hear that fortnight. We give him the slot, he gives us the minute.","Every fortnight we hand the pick to Michael and let him choose the one thing he wants the trade to see this week.

This week it is [plant, form or topic Michael has chosen]. [The one detail that earns the pick, the thing most designers walk straight past.]

[A plain line or two on where it belongs in a scheme, what it does that the obvious alternative does not, and the condition it actually wants, in Michael's words from the shoot.]

Thirty-eight years on the nursery teaches you what to look at twice. This is what caught his eye this fortnight."
"10","w/c 17 August","18","Tue","@creepersinstallation","The Install","Moving stock","Reel","Bank — S5","","From S5: machinery, trolleys, big plants in motion across the site.","Nothing on this site moves quickly.

A mature specimen crossing the yard takes machinery, a trolley, and more hands than you would think. These plants are decades old. They get moved like it."
"10","w/c 17 August","19","Wed","@creepersnursery","Stock & Season","Specimen hero #2","Photo carousel","Bank — S5","","Second designer cut-sheet carousel, from S5.","Most planting plans fail on the specimen that was chosen for how it looked, not for where it had to live.

[Specimen name (Latin name)]. The cut-sheet, so it can be judged on fit.

Form: [habit].
Size: supplied at [size], mature at [mature size].
Position: [aspect and exposure it actually wants].
Ground: [soil and drainage].
Through the year: [what it does across the seasons].
Good alongside: [companions].

The mistake with a plant like this is putting it where the eye wants it rather than where the roots want it, then carrying the replacements. Get the aspect and the drainage right and it is a fifty-year plant. We can send photographs of the specimens on the ground and hold one against your planting date. The office has this week's sizes."
"10","w/c 17 August","20","Thu","@creepersinstallation","Detail & Texture","NF3 macro set","Carousel","Shoot NF3","","Fresh close-ups from the New Forest day.","Texture first.

A fresh set from the New Forest nursery. What the wood and the leaf look like up close, on specimens grown here through the seasons.

[specimen name]
[specimen name]
[specimen name]"
"11","w/c 24 August","24","Mon","@creepersnursery","People of Creepers","Second grower voice","Reel (iPhone)","Bank — S5","","Banked at S5: another grower, another plant, 45 seconds.","Ask [grower name] how long the [specimen, e.g. Acer griseum] on [bed or block number] has been in [his/her] care, and the answer comes in seasons, not months.

[He/She] has grown it on since it was [rough starting size], potting it up, root-pruning it, turning it for even light, until it became the specimen standing there now.

A photograph of a finished tree never shows you that part. Somebody grew it, usually the same somebody, for most of its life. That is what the word grower is meant to mean."
"11","w/c 24 August","25","Tue","@creepersinstallation","The Install","Before lifting season","Reel","Bank — NF3","","From NF3: the fields in their last late-summer state, what comes up first and why.","Soon these fields come up. Not yet.

The trees lift first, once they have gone properly dormant and the roots can travel without stress. The rest follows through autumn, each as it is ready. Right now it is just the waiting, and the last of the summer sitting on the leaves."
"11","w/c 24 August","26","Wed","@creepersnursery","Stock & Season","Fresh In #6","Reel","Shoot S6 + Live stock","","Shot at S6, same format.","Small numbers on a few of these, so treat it as a heads-up rather than a list.

[Specimen], only [x] at [size]. [Specimen] at [size], [x] left. [Specimen], [x] ready and no more coming until [season].

When a specimen line drops into single figures we do not tend to hold it, it goes to whoever calls first. If one of these fits a scheme on your desk, ring the office and we will set it aside for you."
"11","w/c 24 August","27","Thu","@creepersinstallation","Cost & Value","What a Creepers-grade scheme involves","Carousel","Banked details","","Pinned quarterly anchor: one detail photo plus a plain breakdown of what goes into a scheme at this level. Filters tyre-kickers, ends on one quiet enquire line.","A scheme at this level is not a delivery. It is years of work you never see on the day.

The specimens are grown on in open ground for a decade or more, then root-pruned a season ahead so they build a rootball dense enough to move. They are lifted in winter while dormant, craned in whole, planted, staked against wind-rock, and returned to through the first seasons until they stand on their own.

That is what the cost holds. The planting day is the smallest part of it.

None of it is negotiable, because none of it is optional.

Enquiries go through the office."
"12","w/c 31 August","31","Mon","@creepersnursery","Monday Minute","Monday Minute: order now for October","Reel","Bank — S6","","Banked at S6: why autumn planting wins, what to reserve this month.","The best time to plant most trees and hedging is not spring. It is autumn.

By October the soil still holds the warmth of summer while the air has cooled and the plant is heading into dormancy above ground. Roots carry on working in that warm soil through autumn and into winter, so the tree spends the quiet months establishing rather than holding a canopy through heat. By the time next summer's dry spell arrives, it has a full season of root growth behind it and asks far less of you to keep alive.

The stock worth having is reserved long before it is lifted. The strongest semi-mature specimens and the cleanest hedging lines get spoken for through late summer, committed to schemes well ahead of the autumn rush. If you are planting in October, this is the month to walk the rows and tag what you want held.

Send your plant list to the office and we will reserve your specimens for the lifting season."
"12","w/c 31 August","1 Sep","Tue","@creepersinstallation","Garden Stories","Designers we supply #1","Repost","Consent gated","","Repost of a designer crediting Creepers. Pollyanna Wilkinson is the first ask. Runs only with her written consent.","Work by [designer or studio name]. We grew the trees.

We are usually the part of a garden nobody sees. Now and then someone we supply says it plainly, and we are glad to be named.

The first in an occasional series."
"12","w/c 31 August","2 Sep","Wed","@creepersnursery","Stock & Season","Stock Walk #5","Reel","Bank — S6 + Live stock","","Banked walk plus the week's list.","The season is starting to turn on the nursery. Cooler nights, and the stock that suits autumn planting is coming to the front.

On the ground and ready:

[Specimen] · [size] · [x ready]
[Specimen] · [size] · [x ready]
[Specimen] · [size] · [x ready]

Autumn is the better half of the planting year for most trees and shrubs. Warm soil and cool air let the roots settle in before winter, without the top growth under stress. The structural specimens are worth choosing now, before the field-lifting season fills up. Reserve through the office."
"12","w/c 31 August","3 Sep","Thu","@creepersinstallation","Detail & Texture","S6 macro set","Carousel","Bank — S6","","Close-up set from the Surrey shoot.","Stand close and the whole plant is there. Grain, vein, form.

A detail set from the Surrey nursery. [specimen name], [specimen name], [specimen name]."
"13","w/c 7 September","7","Mon","@creepersnursery","People of Creepers","Faces of the season","Carousel","Bank — summer","","Quick portrait set from the summer bank: everyone who appeared, one frame each.","Here is the season, in faces.

Everyone who turned up through a hot summer to keep semi-mature trees alive and moving. Growers, drivers, the office, the yard. A nursery is easy to picture as rows and machinery, and it is really a set of hands that have done this long enough to know what a plant needs before it asks.

Some of them stood in front of the camera this summer. Many more never do.

Thirty-eight years is people, mostly."
"13","w/c 7 September","8","Tue","@creepersinstallation","The Install","Lifting season begins","Reel","Shoot S7","","Shot at S7: the first field-grown stock coming up. The autumn supply story starts here.","It has started. The first of the field-grown stock is out of the ground.

Grown here for years in open soil, now beginning the move towards the gardens it was raised for. This is where the autumn supply starts. One plant at a time, the way it has always been done."
"13","w/c 7 September","9","Wed","@creepersnursery","Stock & Season","Fresh In #7","Reel","Shoot S7 + Live stock","","Shot at S7, same format.","Autumn stock now, and this is the part of the year the nursery is built for.

Just added:

[Specimen] · [size] · [x available]
[Specimen] · [size] · [x available]
[Specimen] · [size] · [x available]

Anything planted in the coming weeks has the whole dormant season to root in before it is asked to grow. It is why designers who plan ahead do their heavy structural planting in autumn rather than spring. If you are working in blocks, ask the office for the full autumn list, it runs longer than the reel."
"13","w/c 7 September","10","Thu","@creepersinstallation","Garden Stories","Permissioned project story","Carousel","Permissioned","","From the consented bank, whichever project cleared sign-off by now.","A private garden in [Cobham].

The brief was privacy, and the feeling of a garden that had always been there. Not a screen that gets there in ten years, one that reads as established from the first summer.

We supplied [the specimens] at [size]. A year on, you would not know they arrived full-grown. Which is rather the point.

Design by [designer]. Shared with the owner's permission."

"Shoot schedule"
"ID","Date","Location","Banks"
"S1","Tue 16 Jun","Surrey nursery + iPhone capture session","Fresh In #1, specimen photo sets, Monday Minutes, grower interviews, order-out and dispatch material, install macros, 20+ story clips. Done."
"S2","Tue 30 Jun","Surrey nursery, 6am call","Dispatch, Fresh In #2, potting-bench clip, grower piece, Monday Minutes, Michael sourcing interview, monthly update. Done."
"MS1","Tue 14 Jul, am","Morie Street, Wandsworth (moved from Thu 9 Jul; site open 6am-12pm)","London cash & carry reveal, stock close-ups, gap-filler bank"
"NF2","Wed 22 Jul","New Forest nursery","High-summer drone and rows, the New Forest run piece, install macros, story bank"
"S4","Tue 28 Jul","Surrey nursery","Fresh In #4, Stock Walk #4 material, root-pruning piece, order-out #2"
"S5","Tue 11 Aug","Surrey nursery","Fresh In #5, specimen cut-sheet #2, summer pruning craft clip, driver piece"
"NF3","Wed 19 Aug","New Forest nursery","Late-summer drone, autumn-prep fields, install macros"
"S6","Tue 25 Aug","Surrey nursery","Fresh In #6, order-out #3, autumn teaser material, two Monday Minutes"
"S7","Tue 8 Sep","Surrey nursery","Fresh In #7, first lifting footage, autumn planting hero material"
"NF4","w/c 14 Sep","New Forest nursery","Autumn stock, Q4 runway"
