Date,Day,Week,Phase,Session Type,Session Detail,Duration,Distance,Vert (m),Intensity,Notes
"Mar 02, 2026",Monday,8,Aerobic Foundation,Easy Run,Forest trails. Gentle terrain. Stay conversational.,46 min,7.2 km,,Easy (Z2),Phase 2 begins
"Mar 03, 2026",Tuesday,8,Aerobic Foundation,Strength A,"TENDON + STRENGTH: Spanish squat 3x45s, Heavy leg press 3x8 (slow). Back squat 4x6, split squat 3x8/leg, calf complex",60 min,,,Moderate,
"Mar 04, 2026",Wednesday,8,Aerobic Foundation,Easy Run,Forest trails. Gentle terrain. Add light hills from week 12.,57 min,8.8 km,,Easy (Z2),
"Mar 05, 2026",Thursday,8,Aerobic Foundation,Strength B,"Bench 4x6, Row 3x8, OHP 3x8, Pull-ups, hip thrust 3x10, Pallof press 2x10/side",60 min,,,Moderate,
"Mar 06, 2026",Friday,8,Aerobic Foundation,Cross-Train,Bike or incline walk. Steady Zone 2.,50-60 min,,,Easy (Z2),
"Mar 07, 2026",Saturday,8,Aerobic Foundation,Long Run,Forest trails. Add gentle hills from week 12. Practice nutrition.,70 min,10 km,,Easy (Z2),
"Mar 08, 2026",Sunday,8,Aerobic Foundation,Rest,Complete rest.,-,-,,-,
"Mar 09, 2026",Monday,9,Aerobic Foundation,Easy Run,Forest trails. Gentle terrain. Stay conversational.,50 min,7.7 km,,Easy (Z2),
"Mar 10, 2026",Tuesday,9,Aerobic Foundation,Strength A,"TENDON + STRENGTH: Spanish squat 3x45s, Heavy leg press 3x8 (slow). Back squat 4x6, split squat 3x8/leg, calf complex",60 min,,,Moderate,
"Mar 11, 2026",Wednesday,9,Aerobic Foundation,Easy Run,Forest trails. Gentle terrain. Add light hills from week 12.,61 min,9.4 km,,Easy (Z2),
"Mar 12, 2026",Thursday,9,Aerobic Foundation,Strength B,"Bench 4x6, Row 3x8, OHP 3x8, Pull-ups, hip thrust 3x10, Pallof press 2x10/side",60 min,,,Moderate,
"Mar 13, 2026",Friday,9,Aerobic Foundation,Cross-Train,Bike or incline walk. Steady Zone 2.,50-60 min,,,Easy (Z2),
"Mar 14, 2026",Saturday,9,Aerobic Foundation,Long Run,Forest trails. Add gentle hills from week 12. Practice nutrition.,77 min,11 km,,Easy (Z2),
"Mar 15, 2026",Sunday,9,Aerobic Foundation,Rest,Complete rest.,-,-,,-,
"Mar 16, 2026",Monday,10,Aerobic Foundation,Easy Run,Forest trails. Gentle terrain. Stay conversational.,52 min,8.1 km,,Easy (Z2),Tempo on bike this week
"Mar 17, 2026",Tuesday,10,Aerobic Foundation,Strength A,"TENDON + STRENGTH: Spanish squat 3x45s, Heavy leg press 3x8 (slow). Back squat 4x6, split squat 3x8/leg, calf complex",60 min,,,Moderate,
"Mar 18, 2026",Wednesday,10,Aerobic Foundation,Cross-Train + Tempo,"Bike: 15 min easy, 20 min tempo (comfortably hard), 10 min easy. Builds threshold without impact.",45-50 min,,,Moderate (Z3),
"Mar 19, 2026",Thursday,10,Aerobic Foundation,Strength B,"Bench 4x6, Row 3x8, OHP 3x8, Pull-ups, hip thrust 3x10, Pallof press 2x10/side",60 min,,,Moderate,
"Mar 20, 2026",Friday,10,Aerobic Foundation,Cross-Train,Bike or incline walk. Steady Zone 2.,50-60 min,,,Easy (Z2),
"Mar 21, 2026",Saturday,10,Aerobic Foundation,Long Run,Forest trails. Add gentle hills from week 12. Practice nutrition.,84 min,12 km,,Easy (Z2),
"Mar 22, 2026",Sunday,10,Aerobic Foundation,Rest,Complete rest.,-,-,,-,
"Mar 23, 2026",Monday,11,Aerobic Foundation,Easy Run,Forest trails. Gentle terrain. Stay conversational.,40 min,6.3 km,,Easy (Z2),DOWN WEEK
"Mar 24, 2026",Tuesday,11,Aerobic Foundation,Strength A,"TENDON + STRENGTH: Spanish squat 3x45s, Heavy leg press 3x8 (slow). Back squat 4x6, split squat 3x8/leg, calf complex",60 min,,,Moderate,
"Mar 25, 2026",Wednesday,11,Aerobic Foundation,Easy Run,Forest trails. Gentle terrain. Add light hills from week 12.,50 min,7.7 km,,Easy (Z2),
"Mar 26, 2026",Thursday,11,Aerobic Foundation,Strength B,"Bench 4x6, Row 3x8, OHP 3x8, Pull-ups, hip thrust 3x10, Pallof press 2x10/side",60 min,,,Moderate,
"Mar 27, 2026",Friday,11,Aerobic Foundation,Cross-Train,Bike or incline walk. Steady Zone 2.,50-60 min,,,Easy (Z2),
"Mar 28, 2026",Saturday,11,Aerobic Foundation,Long Run,Forest trails. Add gentle hills from week 12. Practice nutrition.,56 min,8 km,,Easy (Z2),
"Mar 29, 2026",Sunday,11,Aerobic Foundation,Rest,Complete rest.,-,-,,-,
"Mar 30, 2026",Monday,12,Aerobic Foundation,Easy Run,Forest trails. Gentle terrain. Stay conversational.,45 min,7.0 km,,Easy (Z2),4th run introduced — short Friday run
"Mar 31, 2026",Tuesday,12,Aerobic Foundation,Strength A,"TENDON + STRENGTH: Spanish squat 3x45s, Heavy leg press 3x8 (slow). Back squat 4x6, split squat 3x8/leg, calf complex",60 min,,,Moderate,
"Apr 01, 2026",Wednesday,12,Aerobic Foundation,Easy Run,Forest trails. Gentle terrain. Add light hills from week 12.,52 min,8.0 km,80,Easy (Z2),
"Apr 02, 2026",Thursday,12,Aerobic Foundation,Strength B,"Bench 4x6, Row 3x8, OHP 3x8, Pull-ups, hip thrust 3x10, Pallof press 2x10/side",60 min,,,Moderate,
"Apr 03, 2026",Friday,12,Aerobic Foundation,Easy Run (Short),"4th run introduced. Short, flat, easy. Pre-long-run shakeout.",32 min,5.0 km,,Easy (Z2),4th run — keep it easy
"Apr 04, 2026",Saturday,12,Aerobic Foundation,Long Run,Forest trails. Add gentle hills from week 12. Practice nutrition.,84 min,12 km,120,Easy (Z2),
"Apr 05, 2026",Sunday,12,Aerobic Foundation,Rest,Complete rest.,-,-,,-,
"Apr 06, 2026",Monday,13,Aerobic Foundation,Easy Run,Forest trails. Gentle terrain. Stay conversational.,47 min,7.3 km,,Easy (Z2),First trail long runs
"Apr 07, 2026",Tuesday,13,Aerobic Foundation,Strength A,"TENDON + STRENGTH: Spanish squat 3x45s, Heavy leg press 3x8 (slow). Back squat 4x6, split squat 3x8/leg, calf complex",60 min,,,Moderate,
"Apr 08, 2026",Wednesday,13,Aerobic Foundation,Easy Run,Forest trails. Gentle terrain. Add light hills from week 12.,54 min,8.4 km,100,Easy (Z2),
"Apr 09, 2026",Thursday,13,Aerobic Foundation,Strength B,"Bench 4x6, Row 3x8, OHP 3x8, Pull-ups, hip thrust 3x10, Pallof press 2x10/side",60 min,,,Moderate,
"Apr 10, 2026",Friday,13,Aerobic Foundation,Easy Run (Short),"4th run introduced. Short, flat, easy. Pre-long-run shakeout.",33 min,5.2 km,,Easy (Z2),
"Apr 11, 2026",Saturday,13,Aerobic Foundation,Long Run,Forest trails. Add gentle hills from week 12. Practice nutrition.,91 min,13 km,150,Easy (Z2),
"Apr 12, 2026",Sunday,13,Aerobic Foundation,Rest,Complete rest.,-,-,,-,
"Apr 13, 2026",Monday,14,Aerobic Foundation,Easy Run,Forest trails. Gentle terrain. Stay conversational.,50 min,7.7 km,,Easy (Z2),
"Apr 14, 2026",Tuesday,14,Aerobic Foundation,Strength A,"TENDON + STRENGTH: Spanish squat 3x45s, Heavy leg press 3x8 (slow). Back squat 4x6, split squat 3x8/leg, calf complex",60 min,,,Moderate,
"Apr 15, 2026",Wednesday,14,Aerobic Foundation,Easy Run,Forest trails. Gentle terrain. Add light hills from week 12.,57 min,8.8 km,120,Easy (Z2),
"Apr 16, 2026",Thursday,14,Aerobic Foundation,Strength B,"Bench 4x6, Row 3x8, OHP 3x8, Pull-ups, hip thrust 3x10, Pallof press 2x10/side",60 min,,,Moderate,
"Apr 17, 2026",Friday,14,Aerobic Foundation,Easy Run (Short),"4th run introduced. Short, flat, easy. Pre-long-run shakeout.",35 min,5.5 km,,Easy (Z2),
"Apr 18, 2026",Saturday,14,Aerobic Foundation,Long Run,Forest trails. Add gentle hills from week 12. Practice nutrition.,98 min,14 km,180,Easy (Z2),
"Apr 19, 2026",Sunday,14,Aerobic Foundation,Rest,Complete rest.,-,-,,-,
"Apr 20, 2026",Monday,15,Aerobic Foundation,Easy Run,Forest trails. Gentle terrain. Stay conversational.,46 min,7.2 km,,Easy (Z2),DOWN WEEK
"Apr 21, 2026",Tuesday,15,Aerobic Foundation,Strength A,"TENDON + STRENGTH: Spanish squat 3x45s, Heavy leg press 3x8 (slow). Back squat 4x6, split squat 3x8/leg, calf complex",60 min,,,Moderate,
"Apr 22, 2026",Wednesday,15,Aerobic Foundation,Easy Run,Forest trails. Gentle terrain. Add light hills from week 12.,57 min,8.8 km,60,Easy (Z2),
"Apr 23, 2026",Thursday,15,Aerobic Foundation,Strength B,"Bench 4x6, Row 3x8, OHP 3x8, Pull-ups, hip thrust 3x10, Pallof press 2x10/side",60 min,,,Moderate,
"Apr 24, 2026",Friday,15,Aerobic Foundation,Cross-Train,Bike or incline walk. Steady Zone 2.,50-60 min,,,Easy (Z2),
"Apr 25, 2026",Saturday,15,Aerobic Foundation,Long Run,Forest trails. Add gentle hills from week 12. Practice nutrition.,70 min,10 km,90,Easy (Z2),
"Apr 26, 2026",Sunday,15,Aerobic Foundation,Rest,Complete rest.,-,-,,-,
"Apr 27, 2026",Monday,16,Aerobic Foundation,Easy Run,Forest trails. Gentle terrain. Stay conversational.,52 min,8.0 km,,Easy (Z2),UNLOCK CHECK — ready for Phase 3?
"Apr 28, 2026",Tuesday,16,Aerobic Foundation,Strength A,"TENDON + STRENGTH: Spanish squat 3x45s, Heavy leg press 3x8 (slow). Back squat 4x6, split squat 3x8/leg, calf complex",60 min,,,Moderate,
"Apr 29, 2026",Wednesday,16,Aerobic Foundation,Easy Run,Forest trails. Gentle terrain. Add light hills from week 12.,59 min,9.2 km,160,Easy (Z2),
"Apr 30, 2026",Thursday,16,Aerobic Foundation,Strength B,"Bench 4x6, Row 3x8, OHP 3x8, Pull-ups, hip thrust 3x10, Pallof press 2x10/side",60 min,,,Moderate,
"May 01, 2026",Friday,16,Aerobic Foundation,Easy Run (Short),"4th run introduced. Short, flat, easy. Pre-long-run shakeout.",37 min,5.8 km,,Easy (Z2),
"May 02, 2026",Saturday,16,Aerobic Foundation,Long Run,Forest trails. Add gentle hills from week 12. Practice nutrition.,105 min,15 km,240,Easy (Z2),
"May 03, 2026",Sunday,16,Aerobic Foundation,Rest,Complete rest.,-,-,,-,
"May 04, 2026",Monday,17,Specific Build,🎂 BIRTHDAY LONG RUN,"HAPPY BIRTHDAY! 26km celebration run. UK forest trails. Include hills if feeling good. Fuel well, run happy, enjoy every kilometre.",2.5-3 hrs,26 km,400-600,Easy-Moderate (Z2-3),🎂 26th birthday!
"May 05, 2026",Tuesday,17,Specific Build,Recovery + Light Strength,"NO RUNNING. Light mobility. Optional: Strength A at 60% — bodyweight squats 2x12, step-downs 2x8, stretching 20 min.",30-40 min,,,Very Light,
"May 06, 2026",Wednesday,17,Specific Build,Easy Recovery Run,"Very easy. Legs will be tired from Monday. Forest trails, flat. Walk if needed.",45 min,6 km,,Very Easy (Z1),
"May 07, 2026",Thursday,17,Specific Build,Strength B,"Upper body: Bench 3x8, Row 3x8, OHP 3x8, Pull-ups 3xmax. Core work 10 min. Mobility 10 min.",50 min,,,Moderate,
"May 08, 2026",Friday,17,Specific Build,Easy Run,Easy pre-Saturday. Legs should be coming back now.,32 min,5 km,,Easy (Z2),
"May 09, 2026",Saturday,17,Specific Build,Easy Run,Short and easy. Monday was the big effort this week.,35 min,5 km,,Easy (Z2),
"May 10, 2026",Sunday,17,Specific Build,Rest,Complete rest. Big week done. Recover well.,-,-,,-,
"May 11, 2026",Monday,18,Specific Build,Easy Run,"Recovery from weekend. Forest trails, flat, genuinely easy.",29 min,4.5 km,,Easy (Z1-2),Doubles introduced
"May 12, 2026",Tuesday,18,Specific Build,DOUBLE: AM Fasted + PM Strength,"AM: 3.0km fasted easy (before breakfast, Z1-2). PM: Strength A — slow step-downs 3x10, Nordic curls 3x6, front squat 3x6, single-leg RDL 3x8/leg",AM: 19 min + PM: 55 min,3.0 km,,AM: Easy | PM: Moderate,
"May 13, 2026",Wednesday,18,Specific Build,Tempo/Hills Run,"10 min easy, 25-35 min tempo OR 8x3 min hill repeats, 10 min cool-down. Quality session.",36 min,6.6 km,140,Hard (Z3-4),
"May 14, 2026",Thursday,18,Specific Build,Strength B,"Upper: Bench 3x6, Row 3x8, Pull-ups. Mobility: hip/ankle work 15 min",50 min,,,Moderate,
"May 15, 2026",Friday,18,Specific Build,Easy Run + Strides,Pre-long-run activation. 4-5x15s strides at end.,23 min,3.9 km,,Easy + strides,
"May 16, 2026",Saturday,18,Specific Build,Long Mountain Run,Trail with vert. Power hike all steep climbs. Controlled descents. Nutrition 200-300 cal/hr. Practice race execution.,3.6 hrs,18 km,385,Moderate (Z2-3),
"May 17, 2026",Sunday,18,Specific Build,Back-to-Back RUN,RUN on tired legs. 12.0km on trails. This is where ultra fitness is built. Walk when needed but keep running. Practice eating when you don't want to.,2.2 hrs,12.0 km,196,Easy-Moderate (Z2-3),Back-to-back — embrace it
"May 18, 2026",Monday,19,Specific Build,Easy Run,"Recovery from weekend. Forest trails, flat, genuinely easy.",33 min,5.1 km,,Easy (Z1-2),
"May 19, 2026",Tuesday,19,Specific Build,DOUBLE: AM Fasted + PM Strength,"AM: 3.4km fasted easy (before breakfast, Z1-2). PM: Strength A — slow step-downs 3x10, Nordic curls 3x6, front squat 3x6, single-leg RDL 3x8/leg",AM: 22 min + PM: 55 min,3.4 km,,AM: Easy | PM: Moderate,
"May 20, 2026",Wednesday,19,Specific Build,Tempo/Hills Run,"10 min easy, 25-35 min tempo OR 8x3 min hill repeats, 10 min cool-down. Quality session.",41 min,7.5 km,180,Hard (Z3-4),
"May 21, 2026",Thursday,19,Specific Build,Strength B,"Upper: Bench 3x6, Row 3x8, Pull-ups. Mobility: hip/ankle work 15 min",50 min,,,Moderate,
"May 22, 2026",Friday,19,Specific Build,Easy Run + Strides,Pre-long-run activation. 4-5x15s strides at end.,26 min,4.4 km,,Easy + strides,
"May 23, 2026",Saturday,19,Specific Build,Long Mountain Run,Trail with vert. Power hike all steep climbs. Controlled descents. Nutrition 200-300 cal/hr. Practice race execution.,4.0 hrs,20 km,495,Moderate (Z2-3),
"May 24, 2026",Sunday,19,Specific Build,Back-to-Back RUN,RUN on tired legs. 13.6km on trails. This is where ultra fitness is built. Walk when needed but keep running. Practice eating when you don't want to.,2.5 hrs,13.6 km,252,Easy-Moderate (Z2-3),Back-to-back — embrace it
"May 25, 2026",Monday,20,Specific Build,Easy Run,"Recovery from weekend. Forest trails, flat, genuinely easy.",46 min,7.2 km,,Easy (Z1-2),DOWN WEEK
"May 26, 2026",Tuesday,20,Specific Build,Strength A,"Strength A: Eccentric focus — slow step-downs 3x10, Nordic curls 3x6, front squat 3x6, single-leg work",55 min,,,Moderate,
"May 27, 2026",Wednesday,20,Specific Build,Easy Run,Easy forest run. No intensity.,54 min,8.4 km,,Easy (Z2),
"May 28, 2026",Thursday,20,Specific Build,Strength B,"Upper: Bench 3x6, Row 3x8, Pull-ups. Mobility: hip/ankle work 15 min",50 min,,,Moderate,
"May 29, 2026",Friday,20,Specific Build,Rest or Cross-Train,Complete rest or very easy bike.,0-30 min,,,Very Easy,
"May 30, 2026",Saturday,20,Specific Build,Long Mountain Run,Trail with vert. Power hike all steep climbs. Controlled descents. Nutrition 200-300 cal/hr. Practice race execution.,2.8 hrs,14 km,275,Moderate (Z2-3),
"May 31, 2026",Sunday,20,Specific Build,Rest,Complete rest.,-,-,,-,
"Jun 01, 2026",Monday,21,Specific Build,Easy Run,"Recovery from weekend. Forest trails, flat, genuinely easy.",37 min,5.7 km,,Easy (Z1-2),Big back-to-back weekend
"Jun 02, 2026",Tuesday,21,Specific Build,DOUBLE: AM Fasted + PM Strength,"AM: 3.8km fasted easy (before breakfast, Z1-2). PM: Strength A — slow step-downs 3x10, Nordic curls 3x6, front squat 3x6, single-leg RDL 3x8/leg",AM: 24 min + PM: 55 min,3.8 km,,AM: Easy | PM: Moderate,
"Jun 03, 2026",Wednesday,21,Specific Build,Tempo/Hills Run,"10 min easy, 25-35 min tempo OR 8x3 min hill repeats, 10 min cool-down. Quality session.",46 min,8.4 km,220,Hard (Z3-4),
"Jun 04, 2026",Thursday,21,Specific Build,Strength B,"Upper: Bench 3x6, Row 3x8, Pull-ups. Mobility: hip/ankle work 15 min",50 min,,,Moderate,
"Jun 05, 2026",Friday,21,Specific Build,Easy Run + Strides,Pre-long-run activation. 4-5x15s strides at end.,29 min,4.9 km,,Easy + strides,
"Jun 06, 2026",Saturday,21,Specific Build,Long Mountain Run,Trail with vert. Power hike all steep climbs. Controlled descents. Nutrition 200-300 cal/hr. Practice race execution.,4.4 hrs,22 km,605,Moderate (Z2-3),
"Jun 07, 2026",Sunday,21,Specific Build,Back-to-Back RUN,RUN on tired legs. 15.2km on trails. This is where ultra fitness is built. Walk when needed but keep running. Practice eating when you don't want to.,2.8 hrs,15.2 km,308,Easy-Moderate (Z2-3),Back-to-back — embrace it
"Jun 08, 2026",Monday,22,Specific Build,Easy Run,"Recovery from weekend. Forest trails, flat, genuinely easy.",39 min,6.1 km,,Easy (Z1-2),
"Jun 09, 2026",Tuesday,22,Specific Build,DOUBLE: AM Fasted + PM Strength,"AM: 4.1km fasted easy (before breakfast, Z1-2). PM: Strength A — slow step-downs 3x10, Nordic curls 3x6, front squat 3x6, single-leg RDL 3x8/leg",AM: 26 min + PM: 55 min,4.1 km,,AM: Easy | PM: Moderate,
"Jun 10, 2026",Wednesday,22,Specific Build,Tempo/Hills Run,"10 min easy, 25-35 min tempo OR 8x3 min hill repeats, 10 min cool-down. Quality session.",49 min,9.0 km,260,Hard (Z3-4),
"Jun 11, 2026",Thursday,22,Specific Build,Strength B,"Upper: Bench 3x6, Row 3x8, Pull-ups. Mobility: hip/ankle work 15 min",50 min,,,Moderate,
"Jun 12, 2026",Friday,22,Specific Build,Easy Run + Strides,Pre-long-run activation. 4-5x15s strides at end.,31 min,5.3 km,,Easy + strides,
"Jun 13, 2026",Saturday,22,Specific Build,Long Mountain Run,Trail with vert. Power hike all steep climbs. Controlled descents. Nutrition 200-300 cal/hr. Practice race execution.,5.0 hrs,25 km,715,Moderate (Z2-3),
"Jun 14, 2026",Sunday,22,Specific Build,Back-to-Back RUN,RUN on tired legs. 16.4km on trails. This is where ultra fitness is built. Walk when needed but keep running. Practice eating when you don't want to.,3.0 hrs,16.4 km,364,Easy-Moderate (Z2-3),Back-to-back — embrace it
"Jun 15, 2026",Monday,23,Specific Build,Easy Run,"Recovery from weekend. Forest trails, flat, genuinely easy.",40 min,6.3 km,,Easy (Z1-2),Phase 3 peak — biggest week before Corsica
"Jun 16, 2026",Tuesday,23,Specific Build,DOUBLE: AM Fasted + PM Strength,"AM: 4.2km fasted easy (before breakfast, Z1-2). PM: Strength A — slow step-downs 3x10, Nordic curls 3x6, front squat 3x6, single-leg RDL 3x8/leg",AM: 27 min + PM: 55 min,4.2 km,,AM: Easy | PM: Moderate,
